No,브랜드,시즌,통화(FROM),통화(TO),카테고리,환율
1,I,26S,USD,KRW,의류,1378.86
2,I,26S,USD,KRW,용품,1378.86
3,I,26S,USD,KRW,슈즈,1380
4,I,25F,USD,KRW,의류,1446.83
5,I,25F,USD,KRW,용품,1446.83
6,I,25F,USD,KRW,슈즈,1420
7,I,25S,USD,KRW,의류,1373.09
8,I,25S,USD,KRW,용품,1373.09
9,I,25S,USD,KRW,슈즈,1360.4
10,I,24N,USD,KRW,의류,1302.77
11,I,24N,USD,KRW,용품,1302.77
12,I,24N,USD,KRW,슈즈,1300
13,I,24F,USD,KRW,의류,1322.48
14,I,24F,USD,KRW,용품,1322.48
15,I,24F,USD,KRW,슈즈,1300
16,I,24S,USD,KRW,의류,1302.77
17,I,24S,USD,KRW,용품,1302.77
18,I,24S,USD,KRW,슈즈,1300
19,I,23N,USD,KRW,의류,1330
20,I,23N,USD,KRW,용품,1330
21,I,23N,USD,KRW,슈즈,1300
22,I,23F,USD,KRW,의류,1330
23,I,23F,USD,KRW,용품,1330
24,I,23F,USD,KRW,슈즈,1300
25,I,23S,USD,KRW,의류,1330
26,I,23S,USD,KRW,용품,1330
27,I,23S,USD,KRW,슈즈,1300
28,I,22N,USD,KRW,의류,1330
29,I,22N,USD,KRW,용품,1330
30,I,22N,USD,KRW,슈즈,1300
31,I,21N,USD,KRW,의류,1330
32,I,21N,USD,KRW,용품,1330
33,I,21N,USD,KRW,슈즈,1300
3,I,26N,USD,KRW,의류,1378.86
3,I,26N,USD,KRW,용품,1378.86
3,I,26N,USD,KRW,슈즈,1380
9,I,25N,USD,KRW,의류,1373.09
9,I,25N,USD,KRW,용품,1409.96
9,I,25N,USD,KRW,슈즈,1390.2
